sqrt,mass no,y,output
20,208,0,85.7
20,208,0.1,84.8
20,208,0.3,81.5
20,208,0.5,77.3
20,208,0.7,67.4
20,208,0.9,57.6
20,208,1.1,50.6
20,208,1.3,40.2
20,208,1.5,31.2
20,208,1.7,22.4
20,208,1.9,15.4
20,208,2.1,10.1
20,208,2.3,6.2
20,208,2.5,3.5
20,208,0,16.8
20,208,0.32,15.7
20,208,0.62,16.4
20,208,0.82,13.09
20,208,1.02,10.69
20,208,1.22,8.23
20,208,1.42,5.68
20,208,1.62,3.33
20,208,1.82,1.75
20,208,2.02,0.59
20,208,0,5.7
20,208,0.3,5.09
20,208,0.62,4.01
20,208,0.82,2.92
20,208,1.02,2.13
20,208,1.22,1.46
20,208,1.42,0.89
20,208,1.62,0.44
